Trial,Quick sort data,Merge Sort Data,,Quick sort mean,Merge sort mean,Quick sort variance, Merge sort variance
78,0.146378279,0.300330877,,,,,
79,0.150318146,0.297239065,,,,,
80,0.147937059,0.302516222,,,,,
81,0.142420053,0.308299065,,,,,
82,0.144392014,0.301287889,,,,,
83,0.149203777,0.303231955,,,,,
84,0.143796921,0.301005125,,,,,
85,0.152183056,0.306456804,,,,,
86,0.14300704,0.302577972,,,,,
87,0.151366949,0.301673889,,,,,
88,0.145501852,0.303769112,,,,,
89,0.153079033,0.302188158,,,,,
90,0.146707058,0.356989861,,,,,
91,0.143981218,0.321544886,,,,,
92,0.142679214,0.304471016,,,,,
93,0.143720865,0.300919056,,,,,
94,0.142199039,0.301315069,,,,,
95,0.143536806,0.301028013,,,,,
96,0.14670682,0.301684856,,,,,
97,0.148336172,0.29958868,,,,,
98,0.142631769,0.300026894,,,,,
99,0.14709878,0.300218105,,,,,
100,0.149721861,0.299906969,,,,,
101,0.140417099,0.299865007,,,,,
102,0.142853737,0.300611973,,,,,
103,0.145024776,0.300841808,,,,,
104,0.14173007,0.30113101,,,,,
105,0.146902084,0.300036907,,,,,
106,0.144296885,0.298707962,,,,,
107,0.144494057,0.298689127,,,,,
108,0.144622087,0.298460722,,,,,
109,0.146523237,0.298917055,,,,,
110,0.141976118,0.298528671,,,,,
111,0.146927118,0.298131227,,,,,
112,0.142374277,0.301071882,,,,,
113,0.142031908,0.300015211,,,,,
114,0.143801928,0.29896307,,,,,
115,0.145823002,0.299527168,,,,,
116,0.147405863,0.300990343,,,,,
117,0.149158955,0.301688194,,,,,
118,0.143218994,0.30013299,,,,,
119,0.149821997,0.302042007,,,,,
120,0.147366762,0.300985098,,,,,
121,0.144105911,0.301520824,,,,,
122,0.143862963,0.300880909,,,,,
123,0.14646697,0.298842192,,,,,
124,0.150475979,0.300540209,,,,,
125,0.15250802,0.332080126,,,,,
126,0.145454168,0.304608107,,,,,
127,0.147748232,0.300820112,,,,,
128,0.147629023,0.299849987,,,,,
129,0.1437428,0.299964905,,,,,
130,0.142309189,0.301544905,,,,,
131,0.154727936,0.303253889,,,,,
132,0.140926123,0.30193305,,,,,
133,0.14923811,0.302121162,,,,,
134,0.141751766,0.30348897,,,,,
135,0.149055004,0.301805973,,,,,
136,0.142895937,0.301159143,,,,,
137,0.144300222,0.30148983,,,,,
138,0.14141798,0.299708843,,,,,
139,0.13972187,0.299647093,,,,,
140,0.147030115,0.302307129,,,,,
141,0.144804716,0.299466372,,,,,
142,0.145301819,0.300756931,,,,,
143,0.156210184,0.298263073,,,,,
144,0.148832083,0.301532984,,,,,
145,0.144129038,0.300895929,,,,,
146,0.145334721,0.301862001,,,,,
147,0.144314051,0.302755833,,,,,
148,0.163762331,0.306377172,,,,,
149,0.147614956,0.306576967,,,,,
150,0.145471096,0.302393913,,,,,
151,0.147169113,0.304380178,,,,,
152,0.146636963,0.30289793,,,,,
153,0.148139954,0.305793047,,,,,
154,0.143420935,0.302779198,,,,,
155,0.153967857,0.302582026,,,,,
156,0.150465012,0.300773859,,,,,
157,0.146498203,0.303491831,,,,,
158,0.145950079,0.303171873,,,,,
159,0.146457911,0.302030087,,,,,
160,0.144154787,0.303291082,,,,,
161,0.145779371,0.303471088,,,,,
162,0.151925087,0.302952051,,,,,
163,0.143559933,0.301499844,,,,,
164,0.149600983,0.301720858,,,,,
165,0.148379087,0.3009758,,,,,
166,0.145335197,0.300282717,,,,,
167,0.147429943,0.303843021,,,,,
168,0.148159981,0.302060843,,,,,
169,0.142939806,0.302325964,,,,,
170,0.147179127,0.299711943,,,,,
171,0.169152975,0.385669947,,,,,
172,0.150405884,0.302122116,,,,,
173,0.146404982,0.301012278,,,,,
174,0.145970821,0.302177906,,,,,
175,0.145705938,0.300699234,,,,,
176,0.146619081,0.300240755,,,,,
177,0.146966696,0.299485207,,,,,
178,0.148331881,0.300690889,,,,,
179,0.151313066,0.301088095,,,,,
180,0.144252062,0.301802158,,,,,
181,0.142352819,0.302364111,,,,,
182,0.146692991,0.300741911,,,,,
183,0.143213749,0.300174952,,,,,
184,0.144136906,0.301947832,,,,,
185,0.146786213,0.30256176,,,,,
186,0.14560318,0.301671982,,,,,
187,0.146904945,0.300608873,,,,,
188,0.150527954,0.299474239,,,,,
189,0.145005941,0.300408125,,,,,
190,0.145818949,0.299687862,,,,,
191,0.144666672,0.298788071,,,,,
192,0.148037195,0.300624847,,,,,
193,0.14209795,0.297311783,,,,,
194,0.142997026,0.303387165,,,,,
195,0.142441034,0.301131964,,,,,
196,0.146166086,0.300065041,,,,,
197,0.149710894,0.300624847,,,,,
198,0.141808033,0.300545216,,,,,
199,0.14132309,0.300329924,,,,,
200,0.149193048,0.299581051,,,,,
201,0.143028021,0.299569845,,,,,
202,0.143703222,0.299558163,,,,,
203,0.145073175,0.299543858,,,,,
204,0.148004055,0.300534964,,,,,
205,0.145921707,0.29939723,,,,,
206,0.143361807,0.299978018,,,,,
207,0.151533127,0.299749136,,,,,
208,0.152708054,0.298508167,,,,,
209,0.151084661,0.298538923,,,,,
210,0.144131899,0.298784971,,,,,
